,Neutral,Happy,Sad,Angry,Surprise,Fear,Disgust,Contempt
Curious,0.695122,0.109756,0.109756,0.085366,0.000000,0.000000,0.000000,0.000000
Confused,0.439394,0.257576,0.257576,0.015152,0.000000,0.015152,0.000000,0.015152
Disengaged,0.476190,0.190476,0.285714,0.047619,0.000000,0.000000,0.000000,0.000000
Surprised,0.409091,0.363636,0.045455,0.136364,0.000000,0.000000,0.000000,0.045455
Conflicted,0.458333,0.416667,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000
Optimistic,0.549451,0.219780,0.131868,0.054945,0.010989,0.000000,0.010989,0.021978
Frustrated,0.473684,0.421053,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000
