label,n,valence_mean,valence_std,arousal_mean,arousal_std
Curious,82,-0.078676,0.245169,-0.042169,0.112119
Confused,66,-0.011643,0.284990,-0.048052,0.111944
Disengaged,21,-0.115182,0.245743,-0.025882,0.151067
Surprised,22,0.116545,0.329009,0.011059,0.097129
Conflicted,24,0.134300,0.292307,-0.041270,0.103854
Optimistic,91,-0.007026,0.279774,-0.072525,0.140265
Frustrated,19,0.166680,0.298367,0.017158,0.108912
