label,n,valence_mean,valence_std,arousal_mean,arousal_std
Curious,82,0.083367,0.076098,-0.180916,0.097764
Confused,66,0.101211,0.099691,-0.190832,0.085393
Disengaged,21,0.072196,0.078621,-0.090863,0.113317
Surprised,22,0.068153,0.059668,-0.193134,0.093215
Conflicted,24,0.112365,0.044712,-0.173590,0.075593
Optimistic,91,0.076549,0.080105,-0.188519,0.083732
Frustrated,19,0.110648,0.076751,-0.221764,0.108321
